Cluster,Time_taken (min),Delivery_person_Age,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Vehicle_condition,multiple_deliveries,Weather_conditions_Cloudy,Weather_conditions_Fog,Weather_conditions_Missing,Weather_conditions_Sandstorms,Weather_conditions_Stormy,Weather_conditions_Sunny,Weather_conditions_Windy,City_Metropolitian,City_Missing,City_Semi-Urban,City_Urban,Festival_Missing,Festival_No,Festival_Yes
0,-0.4428843252140871,-1.2120314341301675,-0.17406328891375192,0.20241193722612205,-0.24834081010921172,-0.028094405376507137,1.1891165186142858,-0.3217121341216893,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,-0.3807289656735232,-1.2120314341301675,-2.573960866411787,-3.3896828944688417,-0.06867476734592289,0.31182538848313396,1.1891165186142858,-0.03763174809456006,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2,0.19570410131485,1.113006140995594,1.1053207727290462,0.40241407977522836,1.454135250413641,0.34606917119196057,-0.6432893686866127,0.3960883223010145,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
3,0.4180118018443347,-0.45257967303186614,1.168820287732066,0.34942538936175105,1.5611649012432012,0.23336168530254955,0.2729135749638366,0.2512137322536397,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
4,0.5921350475481327,0.10758455909633058,-1.1772036510474544,-1.5014252224408275,-2.4616434059855585,-3.6803623787793027,-0.6432893686866127,0.40458089366031635,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
5,0.6836527085551154,1.0428361131933739,1.3066921159292615,0.3542277081784152,1.8003382265137837,0.24446658159417026,-0.6432893686866127,0.41810438806824346,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
6,0.8781991807200852,0.7854794372955168,-1.1772036510474544,-1.5014252224408275,-2.463922757830207,-3.6811577061963217,-0.6432893686866127,-1.380483653721145,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
7,0.8047715693472773,1.043490462198214,-1.1772036510474544,-1.5014252224408275,-2.460152537687898,-3.679842174566391,-0.6432893686866127,0.21025721176528353,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
8,0.716031765437544,1.1571344879860694,0.32126518188501707,0.4051422289880438,0.10908747034856274,0.35170501278349736,0.2729135749638366,0.9754552125222251,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
9,1.9625098287783043,-0.4853794455832884,-0.09617887536674534,0.40466625016689944,-0.61503190359734,0.3478382152558154,-1.5594923123370619,1.4383453823224246,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
